市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,9658.T,ビジネスブレイン太田昭和,1,2709.0,24000
スタンダード（内国株式）,9661.T,歌舞伎座,1,4695.0,1100
プライム（内国株式）,9663.T,ナガワ,1,6740.0,35100
プライム（内国株式）,9672.T,東京都競馬,1,5020.0,65000
プライム（内国株式）,9678.T,カナモト,1,3415.0,74300
スタンダード（内国株式）,9679.T,ホウライ,1,1758.0,1000
プライム（内国株式）,9682.T,ＤＴＳ,6,5140.0,197800
プライム（内国株式）,9684.T,スクウェア・エニックス・ホールディングス,1,10700.0,266500
スタンダード（内国株式）,9685.T,ＫＹＣＯＭホールディングス,4,644.0,3500
スタンダード（内国株式）,9686.T,東洋テック,1,1702.0,17600
スタンダード（内国株式）,9687.T,ＫＳＫ,1,4430.0,11200
スタンダード（内国株式）,9691.T,両毛システムズ,1,3530.0,2000
プライム（内国株式）,9692.T,シーイーシー,1,2318.0,40300
スタンダード（内国株式）,9696.T,ウィザス,1,3225.0,20200
プライム（内国株式）,9697.T,カプコン,4,3959.0,2251100
スタンダード（内国株式）,9698.T,クレオ,1,1122.0,3200
プライム（内国株式）,9699.T,ニシオホールディングス,1,4075.0,61800
スタンダード（内国株式）,9701.T,東京會舘,1,3875.0,1400
プライム（内国株式）,9702.T,アイ・エス・ビー,1,1472.0,15700
スタンダード（内国株式）,9704.T,アゴーラ　ホスピタリティー　グループ,1,72.0,17090700
プライム（内国株式）,9706.T,日本空港ビルデング,1,4709.0,258400
スタンダード（内国株式）,9708.T,帝国ホテル,1,1001.0,108300
スタンダード（内国株式）,9709.T,ＮＣＳ＆Ａ,6,1167.0,13300
スタンダード（内国株式）,9713.T,ロイヤルホテル,1,985.0,244900
プライム（内国株式）,9715.T,トランス・コスモス,1,3665.0,111800
プライム（内国株式）,9716.T,乃村工藝社,1,961.0,338000
プライム（内国株式）,9719.T,ＳＣＳＫ,1,4690.0,1039500
スタンダード（内国株式）,9720.T,ホテル、ニューグランド,1,6780.0,600
プライム（内国株式）,9722.T,藤田観光,3,10700.0,45200
スタンダード（内国株式）,9723.T,京都ホテル,5,641.0,13200
スタンダード（内国株式）,9726.T,ＫＮＴ－ＣＴホールディングス,1,1073.0,70200
プライム（内国株式）,9729.T,トーカイ,1,2168.0,32800
スタンダード（内国株式）,9731.T,白洋舎,1,3630.0,900
スタンダード（内国株式）,9733.T,ナガセ,1,1938.0,11000
プライム（内国株式）,9735.T,セコム,1,5620.0,882200
プライム（内国株式）,9739.T,ＮＳＷ,5,2615.0,19100
プライム（内国株式）,9740.T,セントラル警備保障,1,2427.0,21900
プライム（内国株式）,9742.T,アイネス,4,1584.0,82300
プライム（内国株式）,9743.T,丹青社,1,1374.0,373500
プライム（内国株式）,9744.T,メイテックグループホールディングス,1,3179.0,228600
プライム（内国株式）,9746.T,ＴＫＣ,1,4520.0,56700
スタンダード（内国株式）,9753.T,アイエックス・ナレッジ,1,1161.0,4400
プライム（内国株式）,9755.T,応用地質,1,3160.0,27800
プライム（内国株式）,9757.T,船井総研ホールディングス,1,2438.0,78800
プライム（内国株式）,9759.T,ＮＳＤ,3,3526.0,137600
スタンダード（内国株式）,9760.T,進学会ホールディングス,6,167.0,30300
スタンダード（内国株式）,9761.T,東海リース,1,2142.0,4900
スタンダード（内国株式）,9763.T,丸紅建材リース,1,3295.0,11100
プライム（内国株式）,9765.T,オオバ,1,1051.0,17800
プライム（内国株式）,9766.T,コナミグループ,1,23060.0,545600
スタンダード（内国株式）,9767.T,日建工学,1,1419.0,2600
スタンダード（内国株式）,9768.T,いであ,1,3025.0,132400
プライム（内国株式）,9769.T,学究社,1,2388.0,6400
スタンダード（内国株式）,9776.T,札幌臨床検査センター,1,1056.0,9400
スタンダード（内国株式）,9778.T,昴,4,7010.0,800
